first_name,last_name,birth_date,phone,street_address,city,postcode,country,country_code,customer_id
Mariana,Täsche,19-10-2012,+49(0)4706 290657,Solveig-Geisel-Ring 9,Lörrach,77137,Germany,DE,6057856
Martin,Söding,04-02-1973,09534 53383,Oderwaldallee 4/1,Passau,40778,Germany,DE,5159977
Vanessa,Pärtzelt,07-06-1911,(01965) 22214,Rose-Jungfer-Straße 23,Luckenwalde,72937,Germany,DE,4079975
Wolf-Dietrich,Paffrath,21-10-1985,+49 (0) 1778 692323,Anne-Graf-Straße 5/5,Freudenstadt,76187,Germany,DE,8200791
Leni,Finke,17-10-2012,(09585) 36980,Stadelmannring 079,Pinneberg,65940,Germany,DE,1475877
Arnd,Hesse,03-06-1962,0108570314,Clara-Ackermann-Ring 29,Kusel,40901,Germany,DE,5008296
Jürgen,Bloch,16-07-1977,08500 10463,Grafstr. 702,Herford,88706,Germany,DE,7556330
Nikolaj,Hornig,11-06-2012,0848694651,Matthias-Schüler-Ring 600,Siegen,02382,Germany,DE,4340237
Katherina,Mühle,18-10-2017,+49(0)0295 00233,Sorgatzring 2,Göppingen,10235,Germany,DE,7696518
Urban,Köhler,11-05-1910,(01363) 889766,Beckmannstraße 0,Roding,93855,Germany,DE,5962769
Ortrun,Austermühle,14-11-1949,+49(0)9371 413307,Henkstraße 27,Meppen,44696,Germany,DE,4768211
Priska,Weinhold,26-08-1985,09953 728872,Süßebiergasse 6,Neu-Ulm,88821,Germany,DE,6371699
Eleonore,Niemeier,29-07-1994,02735 802899,Günter-Wähner-Ring 2,Höxter,57880,Germany,DE,1340461
Pauline,Pechel,15-12-1936,05499694753,Marlen-Benthin-Weg 10,Bischofswerda,29297,Germany,DE,5980389
Wilhelmine,Reichmann,15-07-1958,04860125362,Sandro-Niemeier-Gasse 7,Bernburg,73425,Germany,DE,2466654
Leopold,Tintzmann,05-08-1991,03608 19685,Hövelring 5/9,Mettmann,32676,Germany,DE,8278073
Heide-Marie,Gorlitz,06-09-1911,+49(0) 389974209,Heinz-Jürgen-Wernecke-Platz 481,Perleberg,01607,Germany,DE,2987417
Ilonka,Bolnbach,07-02-2006,07528 29424,Eberhard-Jacobi Jäckel-Weg 782,Badoberan,08781,Germany,DE,7328365
Svea,Schacht,21-12-1923,(06818) 50131,Frankestr. 37,Hansestadttralsund,98170,Germany,DE,4893619
Rose,Wende,18-01-1989,0890151473,Löwerstraße 9,Lörrach,27761,Germany,DE,9008536
Baptist,Pohl,04-07-1953,05038 561711,Schmidtallee 144,Emmendingen,47429,Germany,DE,2115923
Lieschen,Klingelhöfer,29-06-1962,+49(0)8152 520165,Bernward-Hölzenbecher-Weg 660,Jena,42571,Germany,DE,8881070
Natalia,Warmer,25-02-1928,+49(0)6436 827941,Bohlandergasse 8/8,Seelow,79839,Germany,DE,3638043
Valeska,Hofmann,26-06-1938,+49(0) 538810775,Dehmelplatz 3,Greifswald,19110,Germany,DE,9419534
Lidwina,Benthin,01-06-1991,(09216) 44611,Hansgeorg-Fritsch-Platz 7/7,Geithain,58329,Germany,DE,2942704
Gerhardt,Fischer,27-09-1949,+49 (0) 2346 027945,Lorchallee 4/9,Neustrelitz,32546,Germany,DE,3487742
Annekatrin,Löwer,22-01-1975,+49(0)6290 756677,Gröttnerring 0,Marktheidenfeld,80702,Germany,DE,7862241
Zoran,Salz,25-01-1932,0577060393,Ditmar-Wohlgemut-Platz 98,Dinkelsbühl,19349,Germany,DE,3671152
Gesche,Salz,28-03-1911,+49 (0) 2246 023991,Margrafallee 2/5,Flöha,92012,Germany,DE,2480784
Heiko,Hübel,12-12-2019,+49(0)9691 817253,Sofie-Weitzel-Straße 406,Füssen,37388,Germany,DE,1732443
Reinhart,Segebahn,27-01-2019,+49(0)6999750513,Nohlmansring 0,Wolfratshausen,16168,Germany,DE,8482182
Agata,Rogge,04-08-1978,01317056051,Hermannweg 010,Pritzwalk,59127,Germany,DE,5302211
Carl,Schuster,03-03-1932,02099 799687,Liebeltplatz 6,Mühldorf am Inn,76112,Germany,DE,2065466
Jacqueline,Köhler,19-09-1953,(08796) 47755,Sylvio-Wohlgemut-Gasse 812,Illertissen,58841,Germany,DE,3773833
Rosina,Hethur,04-07-1943,07510 12006,Loni-Schweitzer-Allee 616,Vilsbiburg,29537,Germany,DE,4109254
Günther,Heidrich,14-06-1931,+49(0)7309 80756,Wähnerstraße 1,Göttingen,66435,Germany,DE,2039441
Karl-Hermann,Koch,16-05-1936,+49(0) 081285492,Patrick-Reuter-Weg 600,Ludwigsburg,96457,Germany,DE,4369100
